country,temp_mean,temp_std,hum_mean,hum_std,num_locations
Belgium,13.910710987996305,6.816426809393479,74.735918744229,15.50453015788228,5
Bulgaria,18.091915925626516,10.417643546139132,53.45351657235246,22.44483667861861,3
Cameroon,25.43891891891892,3.287515864905607,63.722522522522524,29.68381113409948,4
Costa Rica,19.713067150635208,2.953064946031936,85.42105263157895,11.882631770741831,3
Iceland,6.562230215827338,4.181444820028265,81.79676258992805,12.422591609365755,3
Indonesia,27.958923766816145,3.3415182033798723,75.01973094170404,11.791865175117687,4
Jamaica,27.195840867992764,1.8369695990855321,78.32368896925858,8.291896217910091,3
Maldives,28.01913357400722,0.7790628024225557,75.54873646209386,5.075413934877617,3
Myanmar,30.340574506283662,3.2071701976264246,74.3177737881508,16.384913334013238,3
Palau,28.04370503597122,1.5473476100582453,82.75539568345324,7.094565083007297,4
Paraguay,20.431474820143883,5.65703567213088,64.06294964028777,20.200561795889026,6
Russia,12.743508771929825,10.481635206151104,65.88245614035088,21.618806682900537,3
USA United States of America,24.53333333333333,5.507570547286102,66.0,20.42057785666214,3
United States of America,9.242286751361162,3.691879225517266,89.09437386569873,10.642546906295395,3
Vietnam,27.23698347107438,5.244501329997634,69.63223140495867,18.38345650275802,3
