location_name,outlier_count
Majuro,268
Palikir,250
Ottawa,233
Ulaanbaatar,141
Astana,118
Vestmannaeyjar,99
Airai,74
Oslo,74
Helsinki,45
Moscow,43
Pyongyang,37
Koror,36
Vaduz,36
Vilnius,35
Yangon,34
Wellington,34
Belmopan,32
Dhaka,31
Minsk,29
Tallinn,29
Laos,29
Conakry,27
Manila,25
Kathmandu,25
Hanoi,25
Seoul,25
Freetown,25
New Delhi,25
Sarajevo,24
Bissau,23
Santiago,23
Stockholm,22
Bern,22
Port Moresby,21
Nan,21
Mexico City,21
Dublin,21
Copenhagen,20
Sofia,20
Ljubljana,19
Bishkek,18
Brussels,18
Riga,18
Andorra La Vella,18
Washington Harbor,18
Beijing,17
Montevideo,17
Buenos Aires,17
San Salvador,17
Prague,16
Luxembourg,16
Kuala Lumpur,15
Zagreb,15
Amsterdam,14
Apia,14
Paris,14
Kyiv,14
Chi Chi Khvar,14
Malabo,14
Bratislava,13
Reykjavik,13
Podgorica,13
Bandar Seri Begawan,13
Bras,13
Havana,13
London,13
Georgetown,12
Guatemala City,12
'S Gravenjansdijk,12
Bucharest,12
Singapore,12
Nuku`Aloia,12
Muscat,11
Monrovia,11
Kuwait City,11
Colombo,11
Funafuti,11
Kinshasa,10
Tirana,10
Aurora,10
Rangoon,10
Ban Lom,10
Bogot,10
Budapest,10
National,10
Baku,10
Tokyo,10
Vienna,10
Canberra,10
Brazzaville,9
Basseterre,9
Baghdad,9
Dili,8
Nassau,8
N'djamena,8
Dushanbe,8
Doha,8
Belgrade,8
Phnom Penh,8
Santo Domingo,8
Amman,8
Tegucigalpa,8
Addis Ababa,8
Yaren,8
Beirut,7
Suva,7
Bangkok,7
Tehran,7
Valletta,7
Warsaw,7
Abu Dhabi,7
Yerevan,7
Monaco,7
Islamabad,7
Kabul,7
Honiara,7
Berlin,7
Managua,7
Port Of Spain,6
San Marino,6
Harare,6
Jakarta,6
Niamey,6
Madrid,6
Djibouti,6
Port Vila,6
Thimphu,6
Riyadh,6
Bamako,5
Saint John's,5
Pretoria,5
Lisbon,5
Sucre,5
Dhidhdhoo,5
Mbabane,5
Tashkent,5
Lilongwe,5
Bangui,5
Ouagadougou,4
Libreville,4
Maseru,4
Meyungs,4
Banjul,4
Kigali,4
Lom,4
S-Chanf,4
Antananarivo,4
Bridgetown,4
San Ignacio,4
Douala,4
'S-Gravenbrakel,4
Ngaoundere,4
Athens,3
Ashgabat,3
Skopje,3
Tbilisi,3
Port Royal,3
Rabat,3
Pathein,3
Moroni,3
Maputo,3
Nairobi,3
Manama,3
Caracas,3
Paramaribo,3
Kampala,3
Port Louis,3
Gaborone,3
Victoria,3
Ankara,3
Kingstown,2
Jerusalem,2
Accra,2
Bujumbura,2
Adkip,2
Mogadishu,2
Rome,2
Castries,2
Sanaa,2
Asmara,2
Saint George's,2
Quito,2
Lusaka,2
Panama City,2
Grindavik,2
Porto-Novo,1
Norman Gardens,1
'S Gravenjansdyk,1
Abuja,1
Ivory,1
Luanda,1
Port-Au-Prince,1
Dakar,1
Khartoum,1
Vatican City,1
Damascus,1
Algiers,1
Tunis,1
Kingston,1
Roseau,1
San Jose,1
Praia,1
